split_type,feature_set,model_name,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,roc_auc_ovr_macro_mean,roc_auc_ovr_macro_std,n_seeds
grouped,esg_financial,logistic_regression,0.547093277093277,0.05410632615673107,0.4991873457605013,0.05059767931122318,0.5441882435138734,0.07792819512296306,0.49304123532006905,0.056355908228736165,0.560884257043938,0.05349894737268964,0.7470645754897741,0.04372061523069661,10
grouped,esg_financial,naive_bayes,0.32092775515582533,0.055108904297029346,0.5177051844250228,0.07234815365958218,0.451969252399776,0.041732605130869405,0.31834906154491016,0.055488338786831,0.3646024687919819,0.07363517357194918,0.6525139135043057,0.04943198719542214,10
grouped,esg_financial,random_forest,0.6576066610452576,0.05559486970497563,0.6769053051104647,0.10574245181289439,0.5666384846948032,0.05499308232176867,0.584636236150923,0.06541549874675795,0.6506983491175717,0.05633976116689428,0.8155107223838239,0.05067053897750597,10
grouped,esg_financial,xgboost,0.6368536161694056,0.07477409853331804,0.5921797484615077,0.0797761130382006,0.5709866532061617,0.08261427259502124,0.5739934640432514,0.08358094419045296,0.6335848721010594,0.07599141015804153,0.7945039805247609,0.052765122085084944,10
grouped,esg_financial_enriched,logistic_regression,0.5969584119584119,0.04142474077812426,0.5391179186681274,0.0472227601104882,0.5758614359611464,0.07084946016910999,0.531664842433871,0.044557748444853634,0.6088386324988525,0.04279812796793283,0.7559515300193703,0.05290483391901258,10
grouped,esg_financial_enriched,naive_bayes,0.3528793746863922,0.05646587284341555,0.5258301147864072,0.062228881489419734,0.47138248818445927,0.04314981050066656,0.34643879644260533,0.056463319520593,0.39994827810235734,0.07177082621541057,0.6777943567720918,0.032266942380279176,10
grouped,esg_financial_enriched,random_forest,0.734929603210305,0.0494499172336162,0.7210206837607622,0.07576910174630326,0.635168251242004,0.054477664586338834,0.6551757562101643,0.06245182568787153,0.7259615621605077,0.04869474998100079,0.8622140554448035,0.039454121910614454,10
grouped,esg_financial_enriched,xgboost,0.6975144842162386,0.05514041206697797,0.6517196332359129,0.09116107782396797,0.6366253222219055,0.061882733363418777,0.6377405468900358,0.06951487939337381,0.6943593609480638,0.05352689965851141,0.8477200029279235,0.03550694053012681,10
grouped,esg_only,logistic_regression,0.5395870867274376,0.05566199674996672,0.4988548138725556,0.06371356511645997,0.5338689970073565,0.08194920095363839,0.4877292174693779,0.06537374788960307,0.5566681579058392,0.05811624038334464,0.7228730048226903,0.0544969056374957,10
grouped,esg_only,naive_bayes,0.20627769566366058,0.12367686320124287,0.3850753189893465,0.13154800350801815,0.35874620925110523,0.11128297389024332,0.1890215998515962,0.10189597578632613,0.19460938015520282,0.13344866876055186,0.625958799403785,0.0829192712693354,10
grouped,esg_only,random_forest,0.6162727110446409,0.05432780678764585,0.6406673150439677,0.08360144322544111,0.5339481059084681,0.0637683555673013,0.5490647611394175,0.06498272817317378,0.6087612497099472,0.05549290363984156,0.7653675081356361,0.055895391179703754,10
grouped,esg_only,xgboost,0.5995939693834431,0.05131911390149771,0.5654007019570193,0.06094677538527902,0.5573464445441413,0.08386875524631293,0.5535287025343096,0.0712479035240475,0.5958319738176631,0.05178851917063643,0.7429238943575116,0.057678075363529535,10
grouped,financial_enriched,logistic_regression,0.5336848408251917,0.055237057751774434,0.5160034089328965,0.0748881391267269,0.5283164505878667,0.08650438110983107,0.4769315777398419,0.06733143434348285,0.5649665537282972,0.05992270853257862,0.7393395339569805,0.07128293562920077,10
grouped,financial_enriched,naive_bayes,0.3870900918444778,0.057381675967245485,0.5341278713260569,0.05004650527539517,0.522975470968724,0.04343530185280754,0.38441453801956615,0.05813287853218279,0.43190048107626555,0.06126301277840475,0.6924686663900566,0.04997380583787099,10
grouped,financial_enriched,random_forest,0.68888246386492,0.07750230586501726,0.6450967032842286,0.14202930664291957,0.5708387428971362,0.07962866681375413,0.5831060876094424,0.09409075022783128,0.6795886847585545,0.07805991016423106,0.8279149474672719,0.06359730930212518,10
grouped,financial_enriched,xgboost,0.6565951118407259,0.06657266115722187,0.6151747516869102,0.09585902760427883,0.607465120717856,0.08125325690567911,0.6052305406318168,0.08691855780254167,0.6581370009161434,0.06472263774735132,0.7987805648832366,0.05561910811087596,10
grouped,financial_only,logistic_regression,0.4607790851124184,0.05173786500546724,0.5422609491179144,0.04262565280059998,0.555443535441763,0.05768564440824411,0.44162213571167486,0.04981432223602357,0.5066086485322394,0.04859261156019683,0.7135484900809321,0.05465635152038087,10
grouped,financial_only,naive_bayes,0.32325621097550916,0.06820374851932715,0.5120527428524666,0.06790335546312998,0.48841981264211237,0.04017449247957367,0.3262993253767297,0.0704101246282322,0.3525954987666378,0.08937025304402853,0.6609105038185801,0.039399622011042204,10
grouped,financial_only,random_forest,0.5976011954257568,0.08599490575741021,0.5767285699867898,0.12545753054533115,0.5004427584986851,0.08371327971343179,0.5107124716238227,0.09024401562075533,0.5936144065255186,0.08472621418706949,0.7444687897712943,0.05456787855542434,10
grouped,financial_only,xgboost,0.5783734283909723,0.0820708372557802,0.5293899702690633,0.1000021530206155,0.5122330120384797,0.07873966349776074,0.5108779647125816,0.084777873585148,0.5798373562762116,0.078925681119958,0.7331209259723215,0.056789597638167384,10
stratified,esg_financial,logistic_regression,0.5584415584415584,0.06593742948799922,0.5030891391499706,0.05478387210039492,0.5297305764411028,0.0719310817615097,0.49224453207597374,0.05996864188009705,0.5788118121677089,0.060865848946343275,0.7405585841511593,0.0444187174736587,10
stratified,esg_financial,naive_bayes,0.3116883116883117,0.048977093069198105,0.50889931180156,0.07116144754099551,0.4553884711779449,0.052154430455409816,0.2994274530664976,0.03729959893250523,0.34027900935500227,0.051896672588413885,0.643844283327366,0.04682513997791398,10
stratified,esg_financial,random_forest,0.6974025974025974,0.03624491028386923,0.6716323890263873,0.12798675843370955,0.5588894110275688,0.0477245671779612,0.5714423790405432,0.062295928641787165,0.6824441941202244,0.03971653511658302,0.8285194078756108,0.02677516592389282,10
stratified,esg_financial,xgboost,0.6805194805194805,0.02464112462468866,0.5995183359264697,0.06487932257164579,0.5675046992481203,0.036955551445718944,0.5742956993812779,0.04426690289286297,0.6734398711384046,0.023671762984994967,0.8033494383470886,0.018517217523574207,10
stratified,esg_financial_enriched,logistic_regression,0.6025974025974026,0.03833063830507129,0.5190370733789974,0.04105577945570368,0.5412828947368421,0.05211520087030625,0.5163207622359638,0.04134535028402646,0.6131790281137616,0.04243134388021331,0.7570267291014472,0.050005813651446386,10
stratified,esg_financial_enriched,naive_bayes,0.3363636363636363,0.07383459223147758,0.4940429575658879,0.05984369708039531,0.46204573934837095,0.06839108086926368,0.32429888205370844,0.05464389064724725,0.3718717715612878,0.06659571794137085,0.6591708925473023,0.04552643545347408,10
stratified,esg_financial_enriched,random_forest,0.7402597402597403,0.04372080059897004,0.7642240685710464,0.09217324964848662,0.6041979949874687,0.042569774775339624,0.6262010252889273,0.051208077813624846,0.7269174119178781,0.0444962198561303,0.884887887453677,0.011673457895740457,10
stratified,esg_financial_enriched,xgboost,0.7350649350649351,0.03929629685856354,0.6822966927039306,0.05260713897447442,0.6378916040100251,0.04733955592291047,0.6526637837411451,0.04875607859316141,0.7292384166864155,0.03958991227928915,0.8539362246810555,0.01736356474358085,10
stratified,esg_only,logistic_regression,0.5545454545454545,0.06623518092595503,0.49644373513595974,0.05353173821138939,0.5198229949874686,0.07164553681175466,0.4858883539823074,0.06250402098700751,0.5742847210336535,0.0612665912384904,0.7193434794633103,0.047287211943189446,10
stratified,esg_only,naive_bayes,0.3116883116883117,0.17509738888447343,0.4680633885907814,0.07513876750550405,0.4334978070175438,0.11201065835915067,0.2652355320039329,0.12826963839399433,0.2892255755790401,0.16274195854302734,0.6673228725813313,0.051156191288153345,10
