accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc_ovr_macro,run_id,feature_set,model_name,split_type,train_rows,test_rows
0.4155844155844156,0.48253968253968255,0.45089285714285715,0.3913888761985979,0.4763095341924891,0.6513152921987508,run_2026-04-10_financial_only_logistic_regression_stratified,financial_only,logistic_regression,stratified,305,77
0.2987012987012987,0.5748251748251748,0.4479949874686717,0.3106942220188617,0.3543611425560636,0.6276143464583314,run_2026-04-10_financial_only_naive_bayes_stratified,financial_only,naive_bayes,stratified,305,77
0.6623376623376623,0.6118652589240825,0.5596021303258145,0.5757575757575758,0.6564344746162928,0.7917305282436861,run_2026-04-10_financial_only_random_forest_stratified,financial_only,random_forest,stratified,305,77
0.6233766233766234,0.5600029815146094,0.5655545112781954,0.5591883070810274,0.6211717614016465,0.7937696041079499,run_2026-04-10_financial_only_xgboost_stratified,financial_only,xgboost,stratified,305,77
0.5454545454545454,0.5424382716049383,0.543546365914787,0.48605042016806727,0.5874757175597511,0.7454987055550966,run_2026-04-10_financial_enriched_logistic_regression_stratified,financial_enriched,logistic_regression,stratified,305,77
0.35064935064935066,0.592203548085901,0.44588032581453635,0.3605015673981191,0.43243903431991204,0.6020667511269014,run_2026-04-10_financial_enriched_naive_bayes_stratified,financial_enriched,naive_bayes,stratified,305,77
0.7272727272727273,0.6300550747442959,0.6051065162907268,0.6139575380081709,0.7203551923262592,0.8800067552887102,run_2026-04-10_financial_enriched_random_forest_stratified,financial_enriched,random_forest,stratified,305,77
0.7402597402597403,0.65589330770155,0.6527255639097744,0.6533364954199152,0.7385295758402213,0.8559540257848529,run_2026-04-10_financial_enriched_xgboost_stratified,financial_enriched,xgboost,stratified,305,77
0.6753246753246753,0.5985628485628486,0.6427788220551379,0.6092397660818714,0.6831259968102074,0.8059445201832419,run_2026-04-10_esg_only_logistic_regression_stratified,esg_only,logistic_regression,stratified,305,77
0.15584415584415584,0.5328638497652582,0.38377192982456143,0.15056980056980057,0.13334443334443333,0.6884523580012302,run_2026-04-10_esg_only_naive_bayes_stratified,esg_only,naive_bayes,stratified,305,77
0.7662337662337663,0.8407407407407407,0.6330670426065163,0.668552345583049,0.7530594378631689,0.8799546466134812,run_2026-04-10_esg_only_random_forest_stratified,esg_only,random_forest,stratified,305,77
0.7142857142857143,0.6992521367521367,0.6740288220551379,0.6853771228771229,0.7133905055982979,0.8510611082039654,run_2026-04-10_esg_only_xgboost_stratified,esg_only,xgboost,stratified,305,77
0.6753246753246753,0.6103988603988604,0.6799812030075189,0.6196729645005506,0.6860736484560936,0.8168932136507325,run_2026-04-10_esg_financial_logistic_regression_stratified,esg_financial,logistic_regression,stratified,305,77
0.33766233766233766,0.7068965517241379,0.5131578947368421,0.3547880690737834,0.4073885298375094,0.6453463864178149,run_2026-04-10_esg_financial_naive_bayes_stratified,esg_financial,naive_bayes,stratified,305,77
0.7532467532467533,0.724809066272481,0.6259398496240601,0.6495293735800064,0.7430594721733963,0.8851779555726923,run_2026-04-10_esg_financial_random_forest_stratified,esg_financial,random_forest,stratified,305,77
0.7532467532467533,0.6859083191850593,0.7019893483709273,0.6930938457254247,0.754524840239126,0.8425894750612796,run_2026-04-10_esg_financial_xgboost_stratified,esg_financial,xgboost,stratified,305,77
0.7012987012987013,0.6211065357406821,0.6570332080200502,0.6153416828522315,0.7085928604915946,0.8417950974811875,run_2026-04-10_esg_financial_enriched_logistic_regression_stratified,esg_financial_enriched,logistic_regression,stratified,305,77
0.33766233766233766,0.6153198653198654,0.47595551378446116,0.35177532087940017,0.4089921820459373,0.6139788956518281,run_2026-04-10_esg_financial_enriched_naive_bayes_stratified,esg_financial_enriched,naive_bayes,stratified,305,77
0.8181818181818182,0.8723823601872382,0.7119360902255639,0.7535864978902954,0.8118033864869308,0.9027421269902473,run_2026-04-10_esg_financial_enriched_random_forest_stratified,esg_financial_enriched,random_forest,stratified,305,77
0.8051948051948052,0.7653116531165312,0.7387218045112781,0.7501125524808661,0.8024772287736763,0.8892903045158684,run_2026-04-10_esg_financial_enriched_xgboost_stratified,esg_financial_enriched,xgboost,stratified,305,77
0.42105263157894735,0.5055555555555555,0.5851393188854489,0.38412172213013723,0.48111289315984085,0.8230968287592044,run_2026-04-10_financial_only_logistic_regression_grouped,financial_only,logistic_regression,grouped,306,76
0.2894736842105263,0.47959183673469385,0.4963880288957688,0.28969355037612526,0.35604810444535306,0.672039441353642,run_2026-04-10_financial_only_naive_bayes_grouped,financial_only,naive_bayes,grouped,306,76
0.618421052631579,0.741388044579534,0.5043859649122807,0.5435800126502214,0.6075601717766903,0.765920932469633,run_2026-04-10_financial_only_random_forest_grouped,financial_only,random_forest,grouped,306,76
0.618421052631579,0.7405523255813954,0.5064499484004128,0.5474747474747476,0.6119617224880384,0.727885298471497,run_2026-04-10_financial_only_xgboost_grouped,financial_only,xgboost,grouped,306,76
0.5263157894736842,0.5037957211870255,0.5869453044375645,0.4562307302033329,0.5606393926509283,0.8340262851832022,run_2026-04-10_financial_enriched_logistic_regression_grouped,financial_enriched,logistic_regression,grouped,306,76
0.40789473684210525,0.5060051736881005,0.5763673890608875,0.3739545997610514,0.46736464817958867,0.7562834190308934,run_2026-04-10_financial_enriched_naive_bayes_grouped,financial_enriched,naive_bayes,grouped,306,76
0.6973684210526315,0.7950581395348837,0.5621775025799794,0.6024691358024691,0.6896686159844054,0.8484127684622633,run_2026-04-10_financial_enriched_random_forest_grouped,financial_enriched,random_forest,grouped,306,76
0.6710526315789473,0.6686777275012569,0.6191950464396284,0.6399286987522282,0.6701982228298018,0.7976363444731541,run_2026-04-10_financial_enriched_xgboost_grouped,financial_enriched,xgboost,grouped,306,76
0.5657894736842105,0.5395681924433677,0.6163570691434469,0.49419139636530945,0.6136764011477971,0.8086144584026286,run_2026-04-10_esg_only_logistic_regression_grouped,esg_only,logistic_regression,grouped,306,76
0.15789473684210525,0.5281385281385281,0.40970072239422084,0.16817653890824621,0.18573262424353568,0.6693632785524182,run_2026-04-10_esg_only_naive_bayes_grouped,esg_only,naive_bayes,grouped,306,76
0.6578947368421053,0.606430155210643,0.5348297213622292,0.5563532548229317,0.6524141451304438,0.7977071214758603,run_2026-04-10_esg_only_random_forest_grouped,esg_only,random_forest,grouped,306,76
0.6052631578947368,0.5729166666666666,0.5722394220846233,0.5722610722610723,0.6044043675622625,0.7519388911304751,run_2026-04-10_esg_only_xgboost_grouped,esg_only,xgboost,grouped,306,76
0.5921052631578947,0.5605509938529187,0.7063983488132095,0.521546703936641,0.6239471845231528,0.817649612938435,run_2026-04-10_esg_financial_logistic_regression_grouped,esg_financial,logistic_regression,grouped,306,76
0.32894736842105265,0.5715983363042186,0.5247678018575851,0.33167573167573167,0.4160675581728213,0.733375945022515,run_2026-04-10_esg_financial_naive_bayes_grouped,esg_financial,naive_bayes,grouped,306,76
0.7368421052631579,0.660218253968254,0.5895252837977296,0.6101010101010101,0.7293460925039873,0.8101294149546553,run_2026-04-10_esg_financial_random_forest_grouped,esg_financial,random_forest,grouped,306,76
0.6842105263157895,0.5750000000000001,0.553405572755418,0.562006815738159,0.6806266527397714,0.8215803903894584,run_2026-04-10_esg_financial_xgboost_grouped,esg_financial,xgboost,grouped,306,76
0.7105263157894737,0.6584670231729056,0.7915376676986584,0.6243386243386243,0.7516708437761069,0.8822473549284288,run_2026-04-10_esg_financial_enriched_logistic_regression_grouped,esg_financial_enriched,logistic_regression,grouped,306,76
0.32894736842105265,0.5498989898989899,0.5247678018575851,0.329187048683904,0.41112950090109973,0.7681312791352305,run_2026-04-10_esg_financial_enriched_naive_bayes_grouped,esg_financial_enriched,naive_bayes,grouped,306,76
0.6973684210526315,0.6327831957989497,0.5611455108359134,0.5816397594175372,0.68932873494277,0.8947900528324596,run_2026-04-10_esg_financial_enriched_random_forest_grouped,esg_financial_enriched,random_forest,grouped,306,76
0.6842105263157895,0.628957528957529,0.6289989680082559,0.6288888888888888,0.6845614035087719,0.8708926168189652,run_2026-04-10_esg_financial_enriched_xgboost_grouped,esg_financial_enriched,xgboost,grouped,306,76
