feature,importance
female_board,0.13869309425354004
high_impact_climate_sector,0.11525152623653412
male_board,0.08579318970441818
female_board_share,0.08056071400642395
negative_affect_biodiversity,0.07926128059625626
scope1,0.07452808320522308
total_ghg_emission,0.07119673490524292
fossil_fuel_sector,0.0631190687417984
scope2_location,0.060974422842264175
carbon_target,0.060024552047252655
report_biodiversity,0.05835617333650589
exp_debt_collection_or_loans,0.05698765069246292
carbon_intensity,0.05525357276201248
exp_controversial_products,0.0
exp_controversial_weapons,0.0
