feature,importance
female_board,0.11987705528736115
enterprise_value,0.0721237063407898
female_board_share,0.06747675687074661
high_impact_climate_sector,0.06580901145935059
revenue,0.0648558959364891
scope1,0.06217730790376663
negative_affect_biodiversity,0.058181826025247574
male_board,0.054323118180036545
total_ghg_emission,0.05403875932097435
debt_to_equity_ratio,0.05102040246129036
scope2_location,0.049887996166944504
book_value_debt,0.048253707587718964
book_value_equity,0.046153340488672256
carbon_intensity,0.04075571149587631
carbon_target,0.03847920522093773
exp_debt_collection_or_loans,0.0368935689330101
report_biodiversity,0.036503665149211884
fossil_fuel_sector,0.033188916742801666
exp_controversial_products,0.0
exp_controversial_weapons,0.0
