feature,importance
female_board,0.5163310756849525
scope1,0.47730185733624947
high_impact_climate_sector,0.2699104062737269
total_ghg_emission,0.23069174546535734
exp_controversial_products,0.21055388420541335
male_board,0.17979859250482855
exp_debt_collection_or_loans,0.17216128767465758
carbon_target,0.16696023788765593
report_biodiversity,0.1472742231312737
female_board_share,0.10622163853103798
fossil_fuel_sector,0.07383264496090383
scope2_location,0.05360763679616032
carbon_intensity,0.05315747004284741
negative_affect_biodiversity,0.04940004695419183
exp_controversial_weapons,0.0
