feature,importance
scope1,0.1514152876099272
scope2_location,0.13471200697835176
female_board_share,0.13372856432976854
carbon_intensity,0.13331327902927267
total_ghg_emission,0.13260086800259496
female_board,0.1108657019548915
male_board,0.08667351368944379
high_impact_climate_sector,0.03636050061449506
exp_debt_collection_or_loans,0.023389925698296538
report_biodiversity,0.020209347075499182
carbon_target,0.01680508779376731
fossil_fuel_sector,0.008602198895111025
negative_affect_biodiversity,0.008192782806834381
exp_controversial_products,0.0031309355217461945
exp_controversial_weapons,0.0
