feature,importance
female_board,0.1322084367275238
high_impact_climate_sector,0.1015729308128357
female_board_share,0.08949338644742966
scope1,0.0815860778093338
carbon_target,0.07951687276363373
male_board,0.0785713717341423
total_ghg_emission,0.07155591249465942
report_biodiversity,0.07000844925642014
exp_debt_collection_or_loans,0.06290079653263092
negative_affect_biodiversity,0.06021573394536972
carbon_intensity,0.0580352284014225
scope2_location,0.057740651071071625
fossil_fuel_sector,0.04332764074206352
exp_controversial_products,0.013266549445688725
exp_controversial_weapons,0.0
