feature,importance
female_board,0.5831108881870918
scope1,0.5623848486034554
total_ghg_emission,0.23879711848128915
high_impact_climate_sector,0.21543949145049154
exp_controversial_products,0.17442526284466053
carbon_target,0.17421935057860594
report_biodiversity,0.16438699350990332
female_board_share,0.10391499321748827
exp_debt_collection_or_loans,0.09477930477553775
negative_affect_biodiversity,0.08405709570052068
carbon_intensity,0.06085109057262602
fossil_fuel_sector,0.05726470075528969
scope2_location,0.05319998946563456
male_board,0.032447286467869006
exp_controversial_weapons,0.0
