feature,importance
enterprise_value,0.10195737680783527
debt_to_equity_ratio,0.09381015213129039
scope1,0.09128438180580738
book_value_debt,0.08312085455319047
revenue,0.08267384314922833
scope2_location,0.08062945328358045
female_board_share,0.08015570693055504
book_value_equity,0.0742168136465911
female_board,0.07269922571777722
total_ghg_emission,0.0702865638068977
carbon_intensity,0.06468274170044158
male_board,0.04000625247573023
high_impact_climate_sector,0.025470432879994096
report_biodiversity,0.01245899908904453
exp_debt_collection_or_loans,0.011051782839533373
carbon_target,0.006354425771026737
negative_affect_biodiversity,0.004483711067080239
fossil_fuel_sector,0.004208421021907695
exp_controversial_products,0.00044886132248818286
exp_controversial_weapons,0.0
