feature,importance
enterprise_value,0.10586994367603586
debt_to_equity_ratio,0.10005918949280289
scope1,0.09264239778479923
book_value_debt,0.08982300355983909
female_board_share,0.08304735547419007
book_value_equity,0.07657870506921195
total_ghg_emission,0.07388883984409443
revenue,0.07268348892930075
scope2_location,0.0719483695004
female_board,0.06670185682464005
carbon_intensity,0.06639058518140677
male_board,0.04291498586012126
high_impact_climate_sector,0.02043514359963042
exp_debt_collection_or_loans,0.011852039156599613
report_biodiversity,0.009116305612324637
carbon_target,0.005939873681930541
fossil_fuel_sector,0.004430500410750541
negative_affect_biodiversity,0.004278285800691206
exp_controversial_products,0.0013991305412305774
exp_controversial_weapons,0.0
