feature,importance
high_impact_climate_sector,0.1035728007555008
female_board,0.09372904151678085
fossil_fuel_sector,0.0838807076215744
enterprise_value,0.07314878702163696
scope1,0.05699026584625244
female_board_share,0.05634904280304909
total_ghg_emission,0.05559933930635452
debt_to_equity_ratio,0.053543396294116974
exp_debt_collection_or_loans,0.05061304196715355
revenue,0.04761993885040283
scope2_location,0.04757772386074066
book_value_equity,0.04706943780183792
book_value_debt,0.046219855546951294
report_biodiversity,0.04408934712409973
male_board,0.04319557547569275
negative_affect_biodiversity,0.04087536782026291
carbon_intensity,0.034928157925605774
carbon_target,0.020998187363147736
exp_controversial_products,0.0
exp_controversial_weapons,0.0
