feature,importance
book_value_equity,0.8984245807633807
enterprise_value,0.7318233469010978
debt_to_equity_ratio,0.6555803962970302
scope2_location,0.5928947402495641
female_board,0.4526551022049174
revenue,0.36334851557990094
scope1,0.2879102744755571
total_ghg_emission,0.24100087686661184
exp_controversial_products,0.2128633970342483
male_board,0.2071252563542693
exp_debt_collection_or_loans,0.20156853922561457
book_value_debt,0.16029739432048826
carbon_target,0.15242741991207923
female_board_share,0.14894245629799344
carbon_intensity,0.12568706305047694
report_biodiversity,0.11941272727633089
high_impact_climate_sector,0.10360799161823857
negative_affect_biodiversity,0.06089242012157711
fossil_fuel_sector,0.0508092470435309
exp_controversial_weapons,0.0
