feature,importance
scope1,0.14887377094153467
scope2_location,0.13929539696368928
total_ghg_emission,0.13766522377053508
female_board_share,0.1308788919800914
carbon_intensity,0.12743708806849058
female_board,0.11645856828971149
male_board,0.08284065465314658
high_impact_climate_sector,0.03757622564217951
report_biodiversity,0.025558267785668717
exp_debt_collection_or_loans,0.02167085049220598
carbon_target,0.015299344929892112
negative_affect_biodiversity,0.00800289732224465
fossil_fuel_sector,0.0071863159214237944
exp_controversial_products,0.0012565032391861199
exp_controversial_weapons,0.0
