accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc_ovr_macro,run_id,feature_set,model_name,split_type,train_rows,test_rows
0.4155844155844156,0.48253968253968255,0.45089285714285715,0.3913888761985979,0.4763095341924891,0.6513152921987508,run_2026-03-25_financial_only_logistic_regression_stratified,financial_only,logistic_regression,stratified,305,77
0.2987012987012987,0.5748251748251748,0.4479949874686717,0.3106942220188617,0.3543611425560636,0.6276143464583314,run_2026-03-25_financial_only_naive_bayes_stratified,financial_only,naive_bayes,stratified,305,77
0.6623376623376623,0.6121212121212121,0.5596021303258145,0.575912975912976,0.6559016740834923,0.792528769267491,run_2026-03-25_financial_only_random_forest_stratified,financial_only,random_forest,stratified,305,77
0.6233766233766234,0.5600029815146094,0.5655545112781954,0.5591883070810274,0.6211717614016465,0.7937696041079499,run_2026-03-25_financial_only_xgboost_stratified,financial_only,xgboost,stratified,305,77
0.6753246753246753,0.5985628485628486,0.6427788220551379,0.6092397660818714,0.6831259968102074,0.8059445201832419,run_2026-03-25_esg_only_logistic_regression_stratified,esg_only,logistic_regression,stratified,305,77
0.15584415584415584,0.5328638497652582,0.38377192982456143,0.15056980056980057,0.13334443334443333,0.6884523580012302,run_2026-03-25_esg_only_naive_bayes_stratified,esg_only,naive_bayes,stratified,305,77
0.7662337662337663,0.8407407407407407,0.6330670426065163,0.668552345583049,0.7530594378631689,0.8819146270744015,run_2026-03-25_esg_only_random_forest_stratified,esg_only,random_forest,stratified,305,77
0.7142857142857143,0.6992521367521367,0.6740288220551379,0.6853771228771229,0.7133905055982979,0.8510611082039654,run_2026-03-25_esg_only_xgboost_stratified,esg_only,xgboost,stratified,305,77
0.6753246753246753,0.6103988603988604,0.6799812030075189,0.6196729645005506,0.6860736484560936,0.8168932136507325,run_2026-03-25_esg_financial_logistic_regression_stratified,esg_financial,logistic_regression,stratified,305,77
0.33766233766233766,0.7068965517241379,0.5131578947368421,0.3547880690737834,0.4073885298375094,0.6453463864178149,run_2026-03-25_esg_financial_naive_bayes_stratified,esg_financial,naive_bayes,stratified,305,77
0.7662337662337663,0.7339869281045752,0.6363565162907268,0.6593628593628594,0.7561287197650834,0.8850731070655883,run_2026-03-25_esg_financial_random_forest_stratified,esg_financial,random_forest,stratified,305,77
0.7532467532467533,0.6859083191850593,0.7019893483709273,0.6930938457254247,0.754524840239126,0.8425894750612796,run_2026-03-25_esg_financial_xgboost_stratified,esg_financial,xgboost,stratified,305,77
0.42105263157894735,0.5055555555555555,0.5851393188854489,0.38412172213013723,0.48111289315984085,0.8230968287592044,run_2026-03-25_financial_only_logistic_regression_grouped,financial_only,logistic_regression,grouped,306,76
0.2894736842105263,0.47959183673469385,0.4963880288957688,0.28969355037612526,0.35604810444535306,0.672039441353642,run_2026-03-25_financial_only_naive_bayes_grouped,financial_only,naive_bayes,grouped,306,76
0.618421052631579,0.741388044579534,0.5043859649122807,0.5435800126502214,0.6075601717766903,0.766852052840219,run_2026-03-25_financial_only_random_forest_grouped,financial_only,random_forest,grouped,306,76
0.618421052631579,0.7405523255813954,0.5064499484004128,0.5474747474747476,0.6119617224880384,0.727885298471497,run_2026-03-25_financial_only_xgboost_grouped,financial_only,xgboost,grouped,306,76
0.5657894736842105,0.5395681924433677,0.6163570691434469,0.49419139636530945,0.6136764011477971,0.8086144584026286,run_2026-03-25_esg_only_logistic_regression_grouped,esg_only,logistic_regression,grouped,306,76
0.15789473684210525,0.5281385281385281,0.40970072239422084,0.16817653890824621,0.18573262424353568,0.6693632785524182,run_2026-03-25_esg_only_naive_bayes_grouped,esg_only,naive_bayes,grouped,306,76
0.6710526315789473,0.6156862745098038,0.5446336429308566,0.5661136249371544,0.6659919028340081,0.7973582746425748,run_2026-03-25_esg_only_random_forest_grouped,esg_only,random_forest,grouped,306,76
0.6052631578947368,0.5729166666666666,0.5722394220846233,0.5722610722610723,0.6044043675622625,0.7519388911304751,run_2026-03-25_esg_only_xgboost_grouped,esg_only,xgboost,grouped,306,76
0.5921052631578947,0.5605509938529187,0.7063983488132095,0.521546703936641,0.6239471845231528,0.817649612938435,run_2026-03-25_esg_financial_logistic_regression_grouped,esg_financial,logistic_regression,grouped,306,76
0.32894736842105265,0.5715983363042186,0.5247678018575851,0.33167573167573167,0.4160675581728213,0.733375945022515,run_2026-03-25_esg_financial_naive_bayes_grouped,esg_financial,naive_bayes,grouped,306,76
0.7368421052631579,0.660218253968254,0.5895252837977296,0.6101010101010101,0.7293460925039873,0.8118690958993632,run_2026-03-25_esg_financial_random_forest_grouped,esg_financial,random_forest,grouped,306,76
0.6842105263157895,0.5750000000000001,0.553405572755418,0.562006815738159,0.6806266527397714,0.8215803903894584,run_2026-03-25_esg_financial_xgboost_grouped,esg_financial,xgboost,grouped,306,76
